
Begin Step 0, Time: 0.0909091, Systemstep: 0
Begin Step 103, Time: 0.718428, Systemstep: 0.00609242

Begin Step 104, Time: 0.724521, Systemstep: 0.00609242

Begin Step 105, Time: 0.730613, Systemstep: 0.00609242

Begin Step 106, Time: 0.736705, Systemstep: 0.00609242

Begin Step 107, Time: 0.742798, Systemstep: 0.00609242

Begin Step 108, Time: 0.74889, Systemstep: 0.00609242

Begin Step 109, Time: 0.754983, Systemstep: 0.00609242

Begin Step 110, Time: 0.761075, Systemstep: 0.00609242

Begin Step 111, Time: 0.767168, Systemstep: 0.00609242

Begin Step 112, Time: 0.77326, Systemstep: 0.00609242

Begin Step 113, Time: 0.779352, Systemstep: 0.00609242

Begin Step 114, Time: 0.785445, Systemstep: 0.00609242

Begin Step 115, Time: 0.791537, Systemstep: 0.00609242

Begin Step 116, Time: 0.79763, Systemstep: 0.00609242

Begin Step 117, Time: 0.803722, Systemstep: 0.00609242

Begin Step 118, Time: 0.809814, Systemstep: 0.00609242

Begin Step 119, Time: 0.815907, Systemstep: 0.00609242

Begin Step 120, Time: 0.821999, Systemstep: 0.00609242

Begin Step 121, Time: 0.828092, Systemstep: 0.00609242

Begin Step 122, Time: 0.834184, Systemstep: 0.00609242

Begin Step 123, Time: 0.840277, Systemstep: 0.00609242

Begin Step 124, Time: 0.846369, Systemstep: 0.00609242

Begin Step 125, Time: 0.852461, Systemstep: 0.00609242

Begin Step 126, Time: 0.858554, Systemstep: 0.00609242

Begin Step 127, Time: 0.864646, Systemstep: 0.00609242

Begin Step 128, Time: 0.870739, Systemstep: 0.00609242

Begin Step 129, Time: 0.876831, Systemstep: 0.00609242

Begin Step 130, Time: 0.882923, Systemstep: 0.00609242

Begin Step 131, Time: 0.889016, Systemstep: 0.00609242

Begin Step 132, Time: 0.895108, Systemstep: 0.00609242

Begin Step 133, Time: 0.901201, Systemstep: 0.00609242

Begin Step 134, Time: 0.907293, Systemstep: 0.00609242

Begin Step 135, Time: 0.913386, Systemstep: 0.00609242

Begin Step 136, Time: 0.919478, Systemstep: 0.00609242

Begin Step 137, Time: 0.92557, Systemstep: 0.00609242

Begin Step 138, Time: 0.931663, Systemstep: 0.00609242

Begin Step 139, Time: 0.937755, Systemstep: 0.00609242

Begin Step 140, Time: 0.943848, Systemstep: 0.00609242

Begin Step 141, Time: 0.94994, Systemstep: 0.00609242

Begin Step 142, Time: 0.956032, Systemstep: 0.00609242

Begin Step 143, Time: 0.962125, Systemstep: 0.00609242

Begin Step 144, Time: 0.968217, Systemstep: 0.00609242

Begin Step 145, Time: 0.97431, Systemstep: 0.00609242

Begin Step 146, Time: 0.980402, Systemstep: 0.00609242

Begin Step 147, Time: 0.986495, Systemstep: 0.00609242

